what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1344277949566
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1344277949592
started,bundle,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.adt",1344277949592
started,bundle,com.android.ide.eclipse.base,20.0.2.v201207191942-407447,"com.android.ide.eclipse.base",1344277949593
started,bundle,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms",1344277949640
os,sysinfo,,,"macosx",1344277949654
arch,sysinfo,,,"x86_64",1344277949654
ws,sysinfo,,,"cocoa",1344277949654
locale,sysinfo,,,"en_US",1344277949654
processors,sysinfo,,,"8",1344277949654
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1344277949654
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1344277949654
java.specification.name,sysinfo,,,"Java Platform API Specification",1344277949654
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344277949654
java.specification.version,sysinfo,,,"1.6",1344277949654
java.vendor,sysinfo,,,"Apple Inc.",1344277949654
java.version,sysinfo,,,"1.6.0_33",1344277949654
java.vm.info,sysinfo,,,"mixed mode",1344277949654
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1344277949654
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344277949654
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344277949654
java.vm.specification.version,sysinfo,,,"1.0",1344277949654
java.vm.vendor,sysinfo,,,"Apple Inc.",1344277949654
java.vm.version,sysinfo,,,"20.8-b03-424",1344277949654
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1344277949699
started,bundle,com.android.ide.eclipse.traceview,20.0.2.v201207191942-407447,"com.android.ide.eclipse.traceview",1344277949711
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1344277950478
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1344277951035
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1344277951990
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1344277952148
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1344277952849
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1344277953307
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1344277953513
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1344277958718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344277995371
